# Multipolar energies (kT/lB)
#        R     exact       tot        ii        id        dd        iq    mucorr
   48.7500   -9.1919   -9.2362   -5.1820   -2.2983   -0.5134   -1.2425    0.7271
   51.2500   -3.8533   -3.7489   -3.4294   -0.5126   -0.2724    0.4655   -0.6026
   51.7500   -5.4205   -5.1410   -4.4515   -0.5362    0.0228   -0.1761    0.0807
   52.0000   -9.0057   -8.3460   -4.8624   -2.1121   -0.4074   -0.9641    0.9019
   52.2500   -6.6802   -6.0438   -4.8910   -0.7746   -0.0782   -0.3000   -0.3342
   52.5000   -8.0291   -7.2828   -4.7447   -1.4633   -0.2053   -0.8695    0.3080
   52.7500   -8.6414   -8.1196   -4.8921   -1.8647   -0.3369   -1.0260    0.7668
   53.0000   -7.1890   -6.6927   -4.2062   -1.3851   -0.2319   -0.8695    0.3278
   53.2500   -6.8576   -5.5862   -4.3285   -0.2383   -0.0563   -0.9632   -0.9480
   53.5000   -7.1528   -6.4691   -4.3594   -1.0996   -0.1237   -0.8864    0.2400
   53.7500   -8.1958   -7.2665   -4.6142   -1.3217   -0.2211   -1.1095    0.0317
   54.0000   -7.5203   -6.6533   -4.4626   -1.0910   -0.0788   -1.0209    0.1214
   54.2500   -7.5077   -6.7531   -4.3667   -1.2491   -0.1881   -0.9493    0.1961
   54.5000   -7.8730   -7.0486   -4.5194   -1.3450   -0.2216   -0.9625    0.2611
   54.7500   -7.4809   -6.6072   -4.5617   -1.0293   -0.1025   -0.9136    0.1930
   55.0000   -7.4911   -6.6142   -4.3318   -1.1677   -0.1860   -0.9286    0.2496
   55.2500   -7.2350   -6.3935   -4.2741   -1.0447   -0.1298   -0.9449    0.3194
   55.5000   -7.6066   -6.7075   -4.3106   -1.2376   -0.1861   -0.9731    0.3678
   55.7500   -7.3946   -6.4425   -4.1676   -1.2026   -0.1509   -0.9214    0.3074
   56.0000   -7.7099   -6.6747   -4.3684   -1.1387   -0.1366   -1.0311    0.1864
   56.2500   -7.4420   -6.4927   -4.3002   -1.0985   -0.1318   -0.9622    0.2113
   56.5000   -7.2216   -6.2553   -4.2330   -1.0048   -0.1118   -0.9058    0.1318
   56.7500   -7.0148   -6.0594   -4.0638   -1.0047   -0.0989   -0.8919    0.1870
   57.0000   -7.1785   -6.2993   -4.2106   -1.1045   -0.1433   -0.8409    0.2842
   57.2500   -6.9624   -5.9893   -4.0474   -0.9871   -0.1129   -0.8420    0.1899
