# Multipolar energies (kT/lB)
#        R     exact       tot        ii        id        dd        iq    mucorr
   47.2500   -7.2821   -6.0930   -4.2890   -0.8138   -0.1575   -0.8327   -0.4318
   47.5000   -8.9379   -8.8717   -5.0399   -2.0317   -0.4691   -1.3310    0.0664
   47.7500   -6.1787   -5.5741   -2.6438   -1.4780   -0.5390   -0.9133    0.1555
   48.0000   -7.1922   -7.2102   -3.5548   -1.9483   -0.6266   -1.0805    0.3688
   48.2500   -8.7122   -9.0037   -4.8714   -2.2538   -0.5159   -1.3626    0.6813
   48.5000   -8.4958   -8.4771   -4.6296   -2.0630   -0.5297   -1.2548    0.2971
   48.7500   -8.2929   -8.2499   -4.6502   -2.0634   -0.4744   -1.0619    0.7276
   49.0000   -8.7961   -8.3188   -4.7907   -1.6604   -0.3938   -1.4739   -0.0064
   49.2500   -9.1176   -8.8079   -5.1947   -1.8143   -0.3987   -1.4002    0.0425
   49.5000   -8.4127   -7.8931   -4.3647   -1.8514   -0.4890   -1.1881    0.2200
   49.7500   -8.3348   -7.9027   -4.4624   -1.9055   -0.4688   -1.0660    0.3522
   50.0000   -8.4335   -7.8412   -4.3895   -1.8035   -0.4429   -1.2052    0.2924
   50.2500   -8.4463   -7.7669   -4.3810   -1.6967   -0.4184   -1.2708    0.1334
   50.5000   -8.2736   -7.6259   -4.4162   -1.6888   -0.3742   -1.1467    0.2826
   50.7500   -8.2247   -7.6288   -4.3139   -1.7926   -0.4240   -1.0984    0.4155
   51.0000   -8.1235   -7.4734   -4.2357   -1.6850   -0.4037   -1.1489    0.2642
   51.2500   -8.3491   -7.5953   -4.2180   -1.7568   -0.4299   -1.1906    0.3335
   51.5000   -8.2687   -7.5162   -4.1857   -1.7735   -0.4178   -1.1392    0.4214
   51.7500   -8.4616   -7.6825   -4.3178   -1.7890   -0.3985   -1.1772    0.4364
   52.0000   -8.5705   -7.7379   -4.3079   -1.8224   -0.4200   -1.1875    0.4516
   52.2500   -8.3987   -7.5150   -4.2155   -1.7564   -0.4023   -1.1408    0.4350
   52.5000   -8.3554   -7.4475   -4.1607   -1.7613   -0.3970   -1.1286    0.5134
   52.7500   -8.3682   -7.4737   -4.1771   -1.7679   -0.3925   -1.1362    0.5362
   53.0000   -8.3595   -7.4144   -4.1708   -1.7256   -0.3829   -1.1352    0.4720
   53.2500   -8.2767   -7.3160   -4.1118   -1.7025   -0.3736   -1.1281    0.5079
   53.5000   -8.2532   -7.2647   -4.0712   -1.6949   -0.3712   -1.1273    0.5235
   53.7500   -8.1430   -7.1337   -3.9911   -1.6720   -0.3635   -1.1071    0.5452
   54.0000   -8.1607   -7.1514   -3.9981   -1.6823   -0.3654   -1.1056    0.5441
   54.2500   -8.1620   -7.1195   -3.9951   -1.6636   -0.3565   -1.1042    0.5552
   54.5000   -8.1796   -7.1023   -3.9765   -1.6654   -0.3546   -1.1057    0.5773
   54.7500   -8.1773   -7.0748   -3.9746   -1.6430   -0.3435   -1.1137    0.5662
   55.0000   -8.1366   -7.0151   -3.9262   -1.6526   -0.3474   -1.0889    0.6110
   55.2500   -8.1616   -7.0080   -3.9406   -1.6337   -0.3388   -1.0948    0.5861
   55.5000   -8.1218   -6.9419   -3.8972   -1.6247   -0.3336   -1.0864    0.6155
   55.7500   -8.1026   -6.8911   -3.8823   -1.6055   -0.3264   -1.0770    0.6104
   56.0000   -8.0529   -6.8260   -3.8674   -1.5743   -0.3135   -1.0708    0.5946
   56.2500   -7.9924   -6.7608   -3.8286   -1.5666   -0.3123   -1.0533    0.6018
   56.5000   -7.9225   -6.6764   -3.7922   -1.5385   -0.3027   -1.0430    0.5926
   56.7500   -7.8734   -6.6235   -3.7800   -1.5184   -0.2945   -1.0306    0.5833
   57.0000   -7.8053   -6.5413   -3.7413   -1.5011   -0.2876   -1.0114    0.5976
   57.2500   -7.7317   -6.4576   -3.7136   -1.4685   -0.2755   -1.0000    0.5856
   57.5000   -7.6729   -6.3927   -3.6925   -1.4510   -0.2677   -0.9815    0.5865
   57.7500   -7.6075   -6.3167   -3.6542   -1.4327   -0.2633   -0.9665    0.5728
   58.0000   -7.5449   -6.2523   -3.6425   -1.4039   -0.2516   -0.9543    0.5599
   58.2500   -7.5087   -6.2018   -3.6296   -1.3855   -0.2430   -0.9438    0.5537
   58.5000   -7.4184   -6.0998   -3.5819   -1.3583   -0.2343   -0.9253    0.5325
   58.7500   -7.3977   -6.0664   -3.5859   -1.3349   -0.2228   -0.9229    0.5204
   59.0000   -7.3150   -5.9771   -3.5417   -1.3048   -0.2140   -0.9166    0.5143
   59.2500   -7.2284   -5.8959   -3.5099   -1.2828   -0.2070   -0.8962    0.5072
   59.5000   -7.1773   -5.8436   -3.4933   -1.2618   -0.2007   -0.8879    0.4884
   59.7500   -7.1546   -5.8049   -3.4820   -1.2470   -0.1950   -0.8810    0.4949
   60.0000   -7.1457   -5.7985   -3.4921   -1.2363   -0.1925   -0.8776    0.4853
   60.2500   -7.0200   -5.6910   -3.4336   -1.2120   -0.1860   -0.8594    0.4671
   60.5000   -6.9346   -5.6266   -3.4007   -1.1960   -0.1835   -0.8464    0.4697
   60.7500   -6.8879   -5.5894   -3.3746   -1.1979   -0.1869   -0.8300    0.4867
   61.0000   -6.8299   -5.5231   -3.3401   -1.1808   -0.1831   -0.8192    0.4901
   61.2500   -6.7532   -5.4650   -3.3168   -1.1605   -0.1796   -0.8082    0.4768
   61.5000   -6.6690   -5.3815   -3.2715   -1.1413   -0.1766   -0.7920    0.4652
   61.7500   -6.6815   -5.4162   -3.3069   -1.1469   -0.1765   -0.7859    0.4705
   62.0000   -6.5805   -5.3084   -3.2410   -1.1273   -0.1708   -0.7694    0.4902
   62.2500   -6.5826   -5.3214   -3.2548   -1.1272   -0.1742   -0.7651    0.4913
   62.5000   -6.5162   -5.2582   -3.2053   -1.1207   -0.1771   -0.7552    0.4861
   62.7500   -6.4465   -5.2001   -3.1893   -1.0983   -0.1702   -0.7424    0.4779
   63.0000   -6.4946   -5.2295   -3.1979   -1.1116   -0.1746   -0.7455    0.5041
   63.2500   -6.3816   -5.1461   -3.1482   -1.1010   -0.1737   -0.7232    0.5300
   63.5000   -6.3790   -5.1172   -3.1303   -1.0945   -0.1736   -0.7188    0.5223
   63.7500   -6.3224   -5.0898   -3.1249   -1.0780   -0.1711   -0.7158    0.4984
   64.0000   -6.2587   -4.9983   -3.0770   -1.0464   -0.1621   -0.7128    0.4862
   64.2500   -6.2049   -4.9654   -3.0508   -1.0494   -0.1664   -0.6988    0.4878
   64.5000   -6.2274   -4.9825   -3.0537   -1.0610   -0.1703   -0.6976    0.5027
   64.7500   -6.1344   -4.9319   -3.0420   -1.0392   -0.1626   -0.6881    0.4930
   65.0000   -6.0543   -4.8767   -3.0063   -1.0288   -0.1634   -0.6783    0.5065
   65.2500   -6.0967   -4.9157   -3.0609   -1.0193   -0.1563   -0.6792    0.4792
   65.5000   -5.9623   -4.8402   -3.0167   -1.0040   -0.1528   -0.6668    0.4728
   65.7500   -5.8949   -4.7906   -2.9738   -1.0061   -0.1560   -0.6547    0.5109
   66.0000   -5.8749   -4.8141   -3.0139   -1.0015   -0.1513   -0.6475    0.4563
   66.2500   -5.8513   -4.7877   -3.0058   -0.9959   -0.1505   -0.6355    0.5222
   66.5000   -5.6500   -4.6313   -2.8880   -0.9856   -0.1537   -0.6041    0.5344
   66.7500   -5.4098   -4.4373   -2.7329   -0.9668   -0.1678   -0.5698    0.4873
   67.0000   -5.5439   -4.6268   -2.8825   -0.9952   -0.1651   -0.5841    0.5431
   67.2500   -5.4632   -4.5866   -2.8899   -0.9731   -0.1534   -0.5702    0.5153
   67.5000   -5.3390   -4.4679   -2.8191   -0.9449   -0.1490   -0.5549    0.5006
   67.7500   -5.3230   -4.4660   -2.8449   -0.9285   -0.1376   -0.5551    0.5380
   68.0000   -5.0500   -4.2531   -2.6769   -0.9145   -0.1475   -0.5142    0.4559
   68.2500   -5.2300   -4.4239   -2.8266   -0.9141   -0.1354   -0.5477    0.4743
   68.5000   -4.7972   -4.0751   -2.5791   -0.8822   -0.1436   -0.4702    0.5263
   68.7500   -4.6311   -3.9244   -2.4863   -0.8390   -0.1335   -0.4657    0.5535
