# Multipolar energies (kT/lB)
#        R     exact       tot        ii        id        dd        iq    mucorr
   50.7500   -9.0837   -7.9408   -6.6359   -0.4779    0.2285   -1.0555   -0.7365
   51.5000   -3.5068   -3.5076   -3.1205   -0.5768   -0.3008    0.4904   -0.7170
   51.7500   -5.9557   -5.4133   -5.0580   -0.1891    0.1067   -0.2730   -0.3506
   52.0000   -6.5730   -5.7960   -3.3928   -1.2125   -0.3874   -0.8033   -0.1935
   52.5000   -3.4795   -3.3563   -3.8205    0.2665   -0.1244    0.3222   -0.2453
   52.7500   -7.1596   -6.1967   -3.9325   -0.7810   -0.2638   -1.2195   -0.6167
   53.0000   -4.8506   -4.4669   -3.3094   -0.5905    0.0173   -0.5843   -0.2072
   53.2500   -5.8235   -5.5047   -3.9536   -0.9201   -0.1221   -0.5088    0.3077
   53.5000   -6.1794   -5.3840   -4.2016   -0.5518   -0.0535   -0.5771   -0.6094
   53.7500   -6.9245   -6.1620   -4.3600   -0.8693    0.0594   -0.9921   -0.2028
   54.0000   -8.1142   -7.2591   -4.7212   -1.2337   -0.2277   -1.0766    0.0288
   54.2500   -6.5476   -5.8973   -4.2259   -0.9123   -0.1029   -0.6562    0.1771
   54.5000   -5.9948   -5.5261   -4.1016   -0.7402   -0.1016   -0.5827    0.2049
   54.7500   -6.7673   -5.9653   -4.0361   -0.9729   -0.1337   -0.8226    0.1981
   55.0000   -7.8655   -6.9902   -4.2884   -1.4276   -0.2527   -1.0215    0.3936
   55.2500   -6.8925   -6.2056   -4.1935   -1.0340   -0.1304   -0.8476    0.3235
   55.5000   -7.1838   -6.2691   -4.0832   -1.0574   -0.1614   -0.9672    0.1481
   55.7500   -7.1833   -6.3245   -4.1934   -1.0738   -0.1467   -0.9106    0.3444
   56.0000   -7.5932   -6.5367   -4.3711   -1.1212   -0.1192   -0.9252    0.2050
   56.2500   -7.2606   -6.3415   -4.2633   -1.0378   -0.1295   -0.9110    0.2566
   56.5000   -7.2636   -6.4080   -4.4125   -1.0604   -0.0844   -0.8507    0.2132
   56.7500   -7.0912   -6.1667   -4.2034   -1.0000   -0.1218   -0.8416    0.2462
   57.0000   -7.1342   -6.1824   -4.2673   -0.9392   -0.0731   -0.9028    0.0477
   57.2500   -7.0875   -6.2067   -4.1874   -1.0562   -0.1320   -0.8312    0.2659
   57.5000   -6.9723   -6.0724   -4.1253   -1.0347   -0.1368   -0.7756    0.2845
   57.7500   -6.7639   -5.8636   -3.9647   -0.9822   -0.1168   -0.7999    0.2759
   58.0000   -6.6965   -5.8752   -4.1069   -0.8986   -0.1186   -0.7510    0.2445
   58.2500   -6.8986   -6.0046   -4.0859   -1.0226   -0.1143   -0.7818    0.2592
   58.5000   -6.7057   -5.8293   -4.0884   -0.8928   -0.0962   -0.7520    0.1664
   58.7500   -6.6441   -5.7880   -4.0574   -0.9081   -0.1025   -0.7201    0.2016
   59.0000   -6.5122   -5.6124   -3.9974   -0.8340   -0.0734   -0.7076    0.1406
   59.2500   -6.3017   -5.4895   -3.8783   -0.8828   -0.0931   -0.6353    0.1563
   59.5000   -6.6466   -5.7775   -4.0203   -0.9164   -0.0910   -0.7499    0.2414
   59.7500   -6.3173   -5.4854   -3.9336   -0.7774   -0.0640   -0.7103    0.1475
   60.0000   -6.1833   -5.3995   -3.9736   -0.7247   -0.0607   -0.6405    0.1157
   60.2500   -5.9590   -5.1820   -3.8168   -0.7076   -0.0625   -0.5951    0.1415
   60.5000   -5.9389   -5.1720   -3.8366   -0.6631   -0.0583   -0.6141    0.1035
   60.7500   -5.8093   -5.1025   -3.8022   -0.6856   -0.0622   -0.5526    0.0902
   61.0000   -5.9720   -5.2729   -3.8742   -0.7350   -0.0817   -0.5820    0.1805
   61.2500   -5.7184   -5.0311   -3.7596   -0.6501   -0.0675   -0.5538    0.1622
   61.5000   -5.9429   -5.2174   -3.8330   -0.7245   -0.0704   -0.5895    0.1660
   61.7500   -5.7741   -5.0990   -3.7088   -0.7461   -0.0802   -0.5638    0.1780
   62.0000   -5.7291   -5.0724   -3.7833   -0.6979   -0.0677   -0.5235    0.1558
   62.2500   -5.4254   -4.8381   -3.7223   -0.5997   -0.0560   -0.4601    0.1209
   62.5000   -5.4374   -4.8407   -3.7131   -0.6156   -0.0537   -0.4583    0.1752
   62.7500   -5.4524   -4.8688   -3.6820   -0.6255   -0.0718   -0.4895    0.1094
   63.0000   -5.4806   -4.8502   -3.6545   -0.6428   -0.0614   -0.4914    0.1821
   63.2500   -5.2505   -4.7087   -3.6457   -0.5697   -0.0633   -0.4301    0.1680
   63.5000   -5.2550   -4.6520   -3.5308   -0.6110   -0.0609   -0.4493    0.1496
   63.7500   -5.1732   -4.6219   -3.5427   -0.6223   -0.0651   -0.3918    0.1802
   64.0000   -5.1881   -4.5839   -3.5582   -0.5349   -0.0479   -0.4429    0.1679
   64.2500   -4.8934   -4.4442   -3.5141   -0.5046   -0.0590   -0.3665    0.1533
   64.5000   -5.0531   -4.5637   -3.6128   -0.5048   -0.0468   -0.3992    0.1452
   64.7500   -4.8256   -4.3365   -3.4555   -0.4900   -0.0515   -0.3395    0.1816
   65.0000   -4.8240   -4.3848   -3.5017   -0.4864   -0.0649   -0.3317    0.1684
   65.2500   -4.7385   -4.2988   -3.3873   -0.5075   -0.0499   -0.3540    0.1145
   65.5000   -4.5727   -4.1921   -3.4318   -0.4249   -0.0473   -0.2882    0.1855
   65.7500   -4.5869   -4.2322   -3.4330   -0.4650   -0.0498   -0.2845    0.1400
   66.0000   -4.4040   -4.0648   -3.3583   -0.3964   -0.0394   -0.2706    0.1320
