# Multipolar energies (kT/lB)
#        R     exact       tot        ii        id        dd        iq    mucorr
   46.7500   -8.2769   -8.5504   -4.7030   -2.2319   -0.5606   -1.0550    0.6330
   47.7500   -6.5461   -6.6691   -4.6144   -1.2905    0.0825   -0.8467    0.7155
   48.5000   -6.9383   -6.5319   -4.0788   -1.5125   -0.2895   -0.6512    0.3244
   48.7500   -8.8697   -8.4926   -4.7304   -1.9292   -0.4810   -1.3520    0.2267
   49.0000   -7.9675   -7.3615   -4.8703   -1.3209   -0.2319   -0.9385   -0.0199
   49.2500   -8.2737   -7.9157   -4.6683   -1.6996   -0.4270   -1.1209    0.1017
   49.5000   -8.1665   -7.5595   -4.4306   -1.5154   -0.2993   -1.3143    0.0518
   49.7500   -7.3167   -6.8437   -4.0630   -1.4366   -0.2986   -1.0455    0.0683
   50.0000   -8.1458   -8.0180   -4.6983   -1.8118   -0.4010   -1.1070    0.3910
   50.2500   -7.7178   -7.1809   -4.4724   -1.3877   -0.3202   -1.0006   -0.0719
   50.5000   -8.5484   -8.0873   -4.9708   -1.6667   -0.3295   -1.1204    0.1750
   50.7500   -7.9873   -7.2989   -4.5877   -1.3757   -0.2925   -1.0429    0.0168
   51.0000   -8.4660   -7.7027   -4.8701   -1.4180   -0.2922   -1.1225    0.0618
   51.2500   -8.3736   -7.7833   -4.6161   -1.6527   -0.3620   -1.1525    0.2837
   51.5000   -8.1229   -7.4412   -4.7219   -1.3854   -0.2746   -1.0592    0.0812
   51.7500   -8.1796   -7.4125   -4.3790   -1.5901   -0.3520   -1.0914    0.2510
   52.0000   -8.2940   -7.5346   -4.6238   -1.5023   -0.2977   -1.1109    0.2132
   52.2500   -8.2820   -7.4629   -4.6407   -1.4427   -0.2574   -1.1221    0.2019
   52.5000   -8.1239   -7.2897   -4.3187   -1.5744   -0.3272   -1.0693    0.2969
   52.7500   -8.0971   -7.2261   -4.3349   -1.5056   -0.3070   -1.0786    0.2969
   53.0000   -8.0552   -7.2397   -4.2846   -1.6009   -0.3160   -1.0382    0.4414
   53.2500   -7.8888   -7.0443   -4.2412   -1.5079   -0.2827   -1.0126    0.3986
   53.5000   -8.1323   -7.2422   -4.3584   -1.5109   -0.2766   -1.0963    0.3736
   53.7500   -7.9455   -7.0041   -4.2069   -1.4517   -0.2788   -1.0667    0.3099
   54.0000   -7.9287   -6.9836   -4.1704   -1.4783   -0.2810   -1.0539    0.3909
   54.2500   -8.0782   -7.1219   -4.2670   -1.5043   -0.2800   -1.0705    0.4134
   54.5000   -8.0922   -7.1028   -4.2184   -1.5286   -0.2867   -1.0692    0.4584
   54.7500   -8.0280   -7.0027   -4.2061   -1.4646   -0.2601   -1.0719    0.4186
   55.0000   -8.0111   -6.9234   -4.1512   -1.4441   -0.2579   -1.0703    0.4046
   55.2500   -7.9485   -6.8593   -4.1006   -1.4531   -0.2561   -1.0495    0.4596
   55.5000   -8.0250   -6.9069   -4.1539   -1.4392   -0.2466   -1.0672    0.4354
   55.7500   -7.9331   -6.8074   -4.0988   -1.4162   -0.2421   -1.0503    0.4337
   56.0000   -7.9185   -6.7682   -4.0778   -1.4106   -0.2407   -1.0390    0.4361
   56.2500   -7.8681   -6.6928   -4.0364   -1.3871   -0.2332   -1.0361    0.4340
   56.5000   -7.8426   -6.6984   -4.0569   -1.3906   -0.2311   -1.0197    0.4441
   56.7500   -7.7237   -6.5572   -3.9888   -1.3496   -0.2223   -0.9965    0.4246
   57.0000   -7.7957   -6.6168   -4.0458   -1.3555   -0.2151   -1.0004    0.4286
   57.2500   -7.6318   -6.4490   -3.9596   -1.3066   -0.2011   -0.9817    0.4154
   57.5000   -7.6012   -6.3947   -3.9437   -1.2879   -0.1948   -0.9682    0.3882
   57.7500   -7.4679   -6.2583   -3.8778   -1.2472   -0.1824   -0.9509    0.3924
   58.0000   -7.5161   -6.2926   -3.9230   -1.2445   -0.1741   -0.9510    0.3941
   58.2500   -7.4160   -6.1967   -3.8817   -1.2129   -0.1655   -0.9367    0.3648
   58.5000   -7.3864   -6.1494   -3.8609   -1.2001   -0.1610   -0.9274    0.3513
   58.7500   -7.3393   -6.1034   -3.8282   -1.1942   -0.1652   -0.9158    0.3631
   59.0000   -7.3162   -6.0757   -3.8243   -1.1829   -0.1551   -0.9134    0.3735
   59.2500   -7.2338   -5.9867   -3.7963   -1.1423   -0.1464   -0.9018    0.3281
   59.5000   -7.1444   -5.9323   -3.7559   -1.1408   -0.1495   -0.8860    0.3345
   59.7500   -7.1148   -5.8859   -3.7346   -1.1336   -0.1427   -0.8749    0.3520
   60.0000   -7.0456   -5.8271   -3.7201   -1.1046   -0.1381   -0.8643    0.3263
   60.2500   -6.9345   -5.7216   -3.6558   -1.0894   -0.1328   -0.8437    0.3228
   60.5000   -6.8910   -5.6997   -3.6449   -1.0863   -0.1388   -0.8298    0.3297
   60.7500   -6.8754   -5.6908   -3.6495   -1.0816   -0.1344   -0.8253    0.3397
   61.0000   -6.8273   -5.6430   -3.6249   -1.0692   -0.1339   -0.8150    0.3275
   61.2500   -6.7275   -5.5758   -3.6069   -1.0419   -0.1277   -0.7993    0.3148
   61.5000   -6.6919   -5.5471   -3.5889   -1.0385   -0.1279   -0.7918    0.3363
   61.7500   -6.5962   -5.4579   -3.5265   -1.0255   -0.1288   -0.7771    0.3367
   62.0000   -6.6041   -5.4852   -3.5463   -1.0407   -0.1308   -0.7675    0.3555
   62.2500   -6.5157   -5.4135   -3.5173   -1.0204   -0.1251   -0.7508    0.3349
   62.5000   -6.4551   -5.3838   -3.4956   -1.0194   -0.1303   -0.7385    0.3557
   62.7500   -6.3711   -5.2862   -3.4454   -0.9851   -0.1286   -0.7271    0.3256
   63.0000   -6.3107   -5.2444   -3.4104   -0.9923   -0.1278   -0.7138    0.3644
   63.2500   -6.3850   -5.3009   -3.4583   -0.9999   -0.1284   -0.7144    0.3710
   63.5000   -6.2180   -5.1844   -3.3942   -0.9738   -0.1256   -0.6908    0.3532
   63.7500   -6.1988   -5.1372   -3.3648   -0.9577   -0.1250   -0.6898    0.3449
   64.0000   -6.2248   -5.1806   -3.3754   -0.9819   -0.1326   -0.6907    0.3836
   64.2500   -6.2277   -5.1920   -3.4081   -0.9749   -0.1268   -0.6821    0.3780
   64.5000   -6.0984   -5.0635   -3.3206   -0.9509   -0.1260   -0.6660    0.3795
   64.7500   -6.0281   -5.0288   -3.3182   -0.9288   -0.1216   -0.6603    0.3836
   65.0000   -6.0076   -4.9977   -3.2611   -0.9517   -0.1315   -0.6535    0.3810
   65.2500   -5.8942   -4.9182   -3.2567   -0.9070   -0.1210   -0.6335    0.3767
   65.5000   -5.8334   -4.9120   -3.2572   -0.9207   -0.1191   -0.6151    0.3687
   65.7500   -5.7664   -4.8695   -3.2565   -0.8969   -0.1161   -0.6000    0.3610
   66.0000   -5.7052   -4.8320   -3.2207   -0.8994   -0.1170   -0.5949    0.3678
   66.2500   -5.4599   -4.6615   -3.1799   -0.8204   -0.1133   -0.5479    0.3392
   66.5000   -5.4196   -4.6333   -3.1240   -0.8524   -0.1152   -0.5418    0.3401
   66.7500   -5.3048   -4.5778   -3.1355   -0.8143   -0.1116   -0.5164    0.3101
   67.0000   -5.1797   -4.4925   -3.1107   -0.7699   -0.0997   -0.5121    0.3511
   67.2500   -5.0436   -4.4053   -3.0779   -0.7467   -0.1013   -0.4794    0.3059
   67.5000   -4.9259   -4.3644   -3.0817   -0.7364   -0.0909   -0.4554    0.3531
   67.7500   -4.9908   -4.4221   -3.1406   -0.7392   -0.0957   -0.4466    0.3479
   68.0000   -4.9363   -4.3610   -3.0605   -0.7657   -0.0977   -0.4371    0.3307
   68.2500   -4.6017   -4.1001   -2.9439   -0.6791   -0.0899   -0.3872    0.2744
   68.5000   -4.4540   -4.0079   -2.8981   -0.6590   -0.0840   -0.3668    0.2809
   68.7500   -4.5460   -4.1066   -3.0212   -0.6323   -0.0811   -0.3719    0.2200
   69.0000   -4.3278   -3.9404   -2.8859   -0.6343   -0.0829   -0.3373    0.2869
   69.2500   -4.3595   -3.9754   -3.0059   -0.5799   -0.0792   -0.3104    0.2838
