# Multipolar energies (kT/lB)
#        R     exact       tot        ii        id        dd        iq    mucorr
   45.7500   -6.9501   -5.7619   -4.5955   -0.3121    0.0410   -0.8954   -0.7017
   46.7500   -6.3439   -5.9115   -3.6237   -1.1435   -0.1980   -0.9463   -0.0508
   47.0000   -7.4846   -6.0798   -4.6720   -0.3571   -0.1332   -0.9175   -0.8443
   47.2500   -6.8661   -7.0174   -3.5619   -1.8673   -0.5297   -1.0586    0.5196
   47.7500   -8.0108   -7.9883   -5.2178   -1.5704   -0.1973   -1.0028    0.0949
   48.0000   -8.0525   -7.2795   -4.5764   -0.9800   -0.3287   -1.3944   -0.6132
   48.2500   -6.3881   -5.1860   -4.1515   -0.2444    0.0987   -0.8888   -0.7775
   48.5000   -6.8464   -6.6625   -4.1098   -1.4520   -0.1252   -0.9756    0.5532
   48.7500   -7.7807   -7.6271   -4.7269   -1.5637   -0.3342   -1.0022   -0.1500
   49.0000   -8.9910   -8.9057   -5.5687   -1.4875   -0.2809   -1.5686   -0.0146
   49.2500   -8.8944   -8.2951   -5.1638   -1.3536   -0.3037   -1.4740   -0.2834
   49.5000   -8.0150   -7.4576   -4.6025   -1.5675   -0.3659   -0.9218    0.1065
   49.7500   -7.8404   -7.2824   -4.3906   -1.4856   -0.2655   -1.1407    0.1301
   50.0000   -8.3461   -7.8182   -4.6141   -1.7512   -0.4197   -1.0331    0.2437
   50.2500   -8.0898   -7.5433   -4.3831   -1.6213   -0.3731   -1.1659    0.1853
   50.5000   -8.2957   -7.8540   -4.7264   -1.6565   -0.3280   -1.1430    0.2495
   50.7500   -8.2908   -7.7130   -4.6387   -1.6294   -0.3548   -1.0901    0.2290
   51.0000   -8.2757   -7.6077   -4.5792   -1.5994   -0.3321   -1.0970    0.2609
   51.2500   -8.2172   -7.3726   -4.3558   -1.5693   -0.3511   -1.0965    0.2075
   51.5000   -8.2288   -7.3872   -4.4315   -1.4928   -0.3132   -1.1497    0.1345
   51.7500   -8.4733   -7.6920   -4.5492   -1.6649   -0.3411   -1.1369    0.3441
   52.0000   -8.5457   -7.7589   -4.6208   -1.6689   -0.3440   -1.1253    0.3475
   52.2500   -8.1961   -7.4123   -4.3500   -1.6278   -0.3423   -1.0922    0.3649
   52.5000   -8.2076   -7.3747   -4.3215   -1.6370   -0.3494   -1.0668    0.4107
   52.7500   -8.3354   -7.5091   -4.4193   -1.6225   -0.3416   -1.1257    0.3770
   53.0000   -8.2047   -7.2832   -4.2797   -1.5682   -0.3254   -1.1099    0.3259
   53.2500   -8.1657   -7.2511   -4.1965   -1.6477   -0.3360   -1.0709    0.5108
   53.5000   -8.1632   -7.2245   -4.2195   -1.5905   -0.3238   -1.0907    0.4214
   53.7500   -8.0827   -7.1101   -4.1526   -1.5692   -0.3180   -1.0703    0.4205
