# Multipolar energies (kT/lB)
#        R     exact       tot        ii        id        dd        iq    mucorr
   48.0000   -5.9718   -4.6790   -3.9469   -0.0077    0.1887   -0.9131   -0.9256
   48.2500   -7.9964   -8.5565   -5.2465   -1.6782   -0.3631   -1.2686    0.0007
   48.5000   -7.8485   -7.7005   -5.4344   -1.3595   -0.1128   -0.7938    0.3824
   49.2500   -8.4648   -8.3933   -4.8751   -1.4661   -0.2995   -1.7526    0.0852
   49.5000   -7.7164   -7.1942   -4.1051   -1.6060   -0.3905   -1.0925    0.1640
   49.7500   -8.0486   -7.5844   -4.6545   -1.4820   -0.2903   -1.1577    0.1075
   50.0000   -7.7661   -7.6424   -4.5656   -1.5747   -0.4529   -1.0492   -0.1908
   50.2500   -8.0719   -7.5406   -4.6565   -1.4533   -0.3708   -1.0601   -0.1240
   50.5000   -8.3380   -7.8466   -4.9050   -1.5456   -0.3085   -1.0876    0.0782
   50.7500   -7.5373   -7.0243   -4.3371   -1.4337   -0.2996   -0.9539    0.1739
   51.0000   -9.4149   -8.7851   -5.4232   -1.8567   -0.3359   -1.1693    0.3923
   51.2500   -7.9287   -7.3203   -4.3717   -1.5863   -0.3280   -1.0343    0.2892
   51.5000   -8.0757   -7.4192   -4.9062   -1.2381   -0.2149   -1.0599    0.0040
   51.7500   -7.6909   -6.9876   -4.2699   -1.5053   -0.2809   -0.9315    0.4131
   52.0000   -7.8999   -7.0100   -4.4240   -1.2784   -0.2233   -1.0843    0.0785
   52.2500   -8.1968   -7.3203   -4.5145   -1.4274   -0.2739   -1.1044    0.1624
   52.5000   -7.9466   -7.1131   -4.2996   -1.5069   -0.2975   -1.0092    0.3220
   52.7500   -7.8289   -7.0484   -4.2982   -1.4793   -0.2463   -1.0246    0.4192
   53.0000   -7.8407   -7.0329   -4.3251   -1.4186   -0.2527   -1.0364    0.3041
   53.2500   -7.7033   -6.8783   -4.2116   -1.4038   -0.2586   -1.0043    0.3184
   53.5000   -7.8248   -6.9649   -4.2406   -1.4327   -0.2584   -1.0333    0.3688
   53.7500   -8.0929   -7.2431   -4.4323   -1.4836   -0.2707   -1.0565    0.3217
   54.0000   -7.9661   -7.0600   -4.2940   -1.4391   -0.2545   -1.0725    0.3506
   54.2500   -7.9559   -7.0412   -4.2799   -1.4605   -0.2626   -1.0382    0.3608
   54.5000   -7.9100   -6.9489   -4.2171   -1.4341   -0.2512   -1.0464    0.4068
   54.7500   -7.8844   -6.8831   -4.1657   -1.4112   -0.2477   -1.0584    0.3939
   55.0000   -7.9951   -6.9167   -4.1776   -1.4204   -0.2488   -1.0699    0.3864
   55.2500   -7.8956   -6.8379   -4.1602   -1.4007   -0.2344   -1.0427    0.3982
   55.5000   -7.9184   -6.8217   -4.1486   -1.3850   -0.2392   -1.0489    0.3605
   55.7500   -7.9472   -6.8273   -4.1515   -1.3931   -0.2260   -1.0567    0.4150
   56.0000   -7.8282   -6.6938   -4.0629   -1.3751   -0.2290   -1.0268    0.4301
   56.2500   -7.8356   -6.6793   -4.0750   -1.3484   -0.2202   -1.0357    0.3762
   56.5000   -7.8412   -6.7249   -4.1110   -1.3761   -0.2257   -1.0121    0.4436
   56.7500   -7.7158   -6.5552   -4.0535   -1.3018   -0.1985   -1.0014    0.3643
   57.0000   -7.6872   -6.5292   -4.0404   -1.3034   -0.1928   -0.9926    0.3824
   57.2500   -7.6309   -6.4658   -4.0130   -1.2831   -0.1904   -0.9793    0.3694
   57.5000   -7.5637   -6.3791   -3.9794   -1.2476   -0.1776   -0.9745    0.3589
   57.7500   -7.5777   -6.3596   -3.9684   -1.2505   -0.1760   -0.9648    0.3710
   58.0000   -7.5125   -6.2971   -3.9431   -1.2316   -0.1701   -0.9523    0.3646
   58.2500   -7.4420   -6.2473   -3.9498   -1.2006   -0.1557   -0.9412    0.3422
   58.5000   -7.3599   -6.1528   -3.8870   -1.1895   -0.1556   -0.9206    0.3481
   58.7500   -7.3308   -6.1138   -3.8977   -1.1609   -0.1454   -0.9098    0.3380
   59.0000   -7.2538   -6.0333   -3.8376   -1.1435   -0.1447   -0.9074    0.3278
   59.2500   -7.1217   -5.9047   -3.7652   -1.1192   -0.1425   -0.8779    0.3189
   59.5000   -7.0933   -5.9058   -3.7765   -1.1167   -0.1393   -0.8732    0.3172
   59.7500   -7.0761   -5.8817   -3.7757   -1.1038   -0.1347   -0.8674    0.3049
   60.0000   -7.0772   -5.8866   -3.7783   -1.1081   -0.1371   -0.8631    0.3279
   60.2500   -6.9675   -5.8023   -3.7268   -1.1004   -0.1350   -0.8401    0.3443
   60.5000   -6.9345   -5.7432   -3.7207   -1.0568   -0.1213   -0.8445    0.2819
   60.7500   -6.7891   -5.6481   -3.6426   -1.0696   -0.1323   -0.8037    0.3374
   61.0000   -6.7716   -5.6363   -3.6678   -1.0351   -0.1243   -0.8091    0.2801
   61.2500   -6.7655   -5.6261   -3.6649   -1.0373   -0.1221   -0.8018    0.3053
   61.5000   -6.6541   -5.5399   -3.6102   -1.0206   -0.1193   -0.7898    0.3097
   61.7500   -6.5995   -5.4984   -3.5909   -1.0164   -0.1219   -0.7692    0.3047
   62.0000   -6.5396   -5.4590   -3.5683   -1.0084   -0.1240   -0.7582    0.3289
   62.2500   -6.4492   -5.3785   -3.5291   -0.9898   -0.1190   -0.7405    0.3182
   62.5000   -6.4382   -5.3843   -3.5480   -0.9867   -0.1208   -0.7288    0.3101
   62.7500   -6.4170   -5.3628   -3.5209   -0.9932   -0.1235   -0.7252    0.3452
   63.0000   -6.3769   -5.3349   -3.5178   -0.9771   -0.1185   -0.7216    0.3285
   63.2500   -6.2988   -5.2660   -3.4677   -0.9740   -0.1215   -0.7028    0.3551
   63.5000   -6.2762   -5.2697   -3.4808   -0.9726   -0.1246   -0.6916    0.3730
   63.7500   -6.1473   -5.1301   -3.3704   -0.9564   -0.1222   -0.6811    0.3373
   64.0000   -6.2549   -5.2245   -3.4573   -0.9549   -0.1178   -0.6945    0.3477
