# Multipolar energies (kT/lB)
#        R     exact       tot        ii        id        dd        iq    mucorr
   47.2500   -7.0367   -6.1337   -4.3548   -1.0423   -0.0956   -0.6411    0.0456
   47.5000   -7.9036   -8.3414   -5.3310   -1.3959   -0.4388   -1.1756   -0.4723
   47.7500   -7.6268   -7.6365   -5.0219   -1.5852   -0.1587   -0.8708    0.4290
   48.0000   -7.1908   -6.0401   -4.1476   -0.6538   -0.1667   -1.0720   -0.7419
   48.2500  -10.0682   -9.6549   -5.7151   -1.7077   -0.4330   -1.7991   -0.3811
   48.7500   -9.3137   -9.6239   -5.6510   -2.2262   -0.4181   -1.3286    0.7704
   49.0000   -9.5606   -9.3351   -5.6247   -1.5546   -0.4165   -1.7394   -0.5598
   49.2500   -7.8996   -7.4680   -4.7017   -1.3659   -0.2729   -1.1276   -0.0449
   49.5000   -7.6203   -6.9299   -4.1898   -1.4920   -0.3606   -0.8875   -0.0342
   49.7500   -7.8822   -7.9078   -4.4706   -2.0505   -0.3865   -1.0002    0.9029
   50.0000   -7.5944   -6.9517   -4.3584   -1.3052   -0.3028   -0.9853   -0.0964
   50.2500   -8.5445   -8.0141   -4.6770   -1.7193   -0.3911   -1.2268    0.2150
   50.5000   -8.4864   -7.8157   -4.8624   -1.5565   -0.2436   -1.1532    0.2517
   50.7500   -8.0804   -7.6326   -4.6103   -1.6393   -0.3346   -1.0484    0.3206
   51.0000   -8.4628   -7.7397   -4.5717   -1.7452   -0.3798   -1.0429    0.3879
   51.2500   -8.0934   -7.5153   -4.5963   -1.5287   -0.2858   -1.1045    0.2960
   51.5000   -8.0141   -7.2919   -4.4505   -1.4700   -0.2894   -1.0820    0.1700
   51.7500   -8.4883   -7.8881   -4.6662   -1.7168   -0.3515   -1.1536    0.3642
   52.0000   -8.1651   -7.4448   -4.4669   -1.5734   -0.3041   -1.1003    0.3216
   52.2500   -8.3868   -7.5763   -4.5131   -1.6270   -0.3309   -1.1053    0.3559
   52.5000   -8.0707   -7.2649   -4.2559   -1.6198   -0.3359   -1.0533    0.4285
   52.7500   -8.1626   -7.2895   -4.3430   -1.5364   -0.3105   -1.0997    0.3294
   53.0000   -8.1636   -7.2913   -4.3365   -1.5504   -0.3080   -1.0964    0.3431
   53.2500   -8.1924   -7.2708   -4.3019   -1.5454   -0.3134   -1.1100    0.3613
   53.5000   -8.1463   -7.2705   -4.3106   -1.5702   -0.3065   -1.0832    0.4155
   53.7500   -8.1395   -7.1957   -4.2578   -1.5637   -0.3059   -1.0683    0.4151
   54.0000   -8.0950   -7.1597   -4.2083   -1.5621   -0.3101   -1.0792    0.4329
   54.2500   -8.1571   -7.1722   -4.2450   -1.5408   -0.2967   -1.0898    0.4308
   54.5000   -8.1305   -7.1116   -4.2174   -1.5170   -0.2829   -1.0942    0.4383
   54.7500   -8.1747   -7.1089   -4.2441   -1.4986   -0.2701   -1.0960    0.4334
   55.0000   -8.0420   -6.9562   -4.1229   -1.4952   -0.2715   -1.0666    0.4626
