# Multipolar energies (kT/lB)
#        R     exact       tot        ii        id        dd        iq    mucorr
   48.7500   -9.4573   -9.6227   -5.4116   -2.3581   -0.5085   -1.3444    0.7438
   49.2500   -6.9570   -6.2458   -4.4681   -0.8467   -0.0582   -0.8728   -0.1065
   50.0000   -7.2097   -6.0195   -3.6816   -1.1509   -0.3781   -0.8089   -0.3097
   50.5000   -9.7618   -9.4589   -5.8891   -1.9461   -0.3773   -1.2465    0.2062
   50.7500   -6.8806   -6.5480   -4.9625   -0.9982   -0.0540   -0.5334    0.2108
   51.0000   -7.5255   -6.7479   -4.8930   -0.9347   -0.1085   -0.8117   -0.3206
   51.2500   -7.4498   -6.7441   -4.5776   -1.0108   -0.0820   -1.0738   -0.0265
   51.5000   -7.6517   -7.0134   -4.9370   -0.9730   -0.1576   -0.9459   -0.1858
   51.7500   -8.2008   -7.4560   -4.6325   -1.4154   -0.2604   -1.1476    0.1135
   52.0000   -8.2185   -7.3772   -4.5899   -1.3829   -0.2870   -1.1174   -0.0939
   52.2500   -7.9486   -7.0634   -4.4682   -1.3259   -0.2498   -1.0195    0.0037
   52.5000   -7.9624   -7.1245   -4.6568   -1.2030   -0.1961   -1.0686    0.0056
   52.7500   -7.4487   -6.7558   -4.0729   -1.4181   -0.3252   -0.9396    0.2711
   53.0000   -7.8744   -7.1373   -4.5312   -1.3212   -0.2238   -1.0610    0.2247
   53.2500   -7.4303   -6.6798   -4.2697   -1.2169   -0.2148   -0.9783    0.2285
   53.5000   -7.6555   -6.8352   -4.2043   -1.3427   -0.2619   -1.0264    0.2168
   53.7500   -7.5669   -6.7466   -4.1557   -1.3152   -0.2484   -1.0273    0.1998
   54.0000   -7.5978   -6.7845   -4.2831   -1.3333   -0.2229   -0.9452    0.2590
   54.2500   -7.5443   -6.6923   -4.2875   -1.2147   -0.1745   -1.0156    0.2670
   54.5000   -7.8484   -6.9954   -4.3588   -1.3746   -0.2181   -1.0440    0.3243
   54.7500   -7.9718   -7.0252   -4.3858   -1.3806   -0.2310   -1.0278    0.3306
   55.0000   -7.7007   -6.7600   -4.2500   -1.3092   -0.2002   -1.0006    0.3832
   55.2500   -7.7997   -6.8358   -4.2759   -1.3345   -0.2115   -1.0138    0.3432
   55.5000   -7.6505   -6.6220   -4.1926   -1.2281   -0.1787   -1.0225    0.2843
   55.7500   -7.8354   -6.7370   -4.2158   -1.3031   -0.2009   -1.0172    0.3152
   56.0000   -7.7512   -6.7176   -4.2217   -1.3002   -0.1929   -1.0028    0.3635
   56.2500   -7.7115   -6.6488   -4.2362   -1.2356   -0.1628   -1.0142    0.2883
   56.5000   -7.5722   -6.4905   -4.0871   -1.2518   -0.1864   -0.9652    0.2999
   56.7500   -7.5957   -6.4945   -4.1380   -1.2176   -0.1615   -0.9773    0.3166
   57.0000   -7.4956   -6.3857   -4.0495   -1.2242   -0.1677   -0.9443    0.3150
   57.2500   -7.5132   -6.3862   -4.0804   -1.2003   -0.1629   -0.9426    0.2960
   57.5000   -7.4347   -6.3252   -4.0459   -1.1727   -0.1488   -0.9578    0.2932
   57.7500   -7.2963   -6.2259   -4.0273   -1.1466   -0.1414   -0.9105    0.2915
   58.0000   -7.3290   -6.1852   -3.9954   -1.1234   -0.1338   -0.9326    0.2705
   58.2500   -7.2505   -6.1321   -3.9637   -1.1269   -0.1393   -0.9021    0.2822
   58.5000   -7.1688   -6.0844   -3.9618   -1.1061   -0.1308   -0.8858    0.2746
   58.7500   -7.0706   -5.9756   -3.9113   -1.0750   -0.1269   -0.8624    0.2514
   59.0000   -7.1075   -6.0060   -3.9361   -1.0674   -0.1227   -0.8799    0.2717
   59.2500   -6.9996   -5.9041   -3.8941   -1.0410   -0.1147   -0.8542    0.2350
   59.5000   -7.0115   -5.8930   -3.8644   -1.0574   -0.1190   -0.8522    0.2410
   59.7500   -6.9060   -5.7935   -3.8432   -1.0148   -0.1049   -0.8306    0.2243
