# Multipolar energies (kT/lB)
#        R     exact       tot        ii        id        dd        iq    mucorr
   64.0000   -6.2912   -5.1013   -3.1900   -1.0433   -0.1550   -0.7130    0.4726
   64.2500   -6.2280   -5.0329   -3.1441   -1.0326   -0.1556   -0.7007    0.4670
   64.5000   -6.2580   -5.0827   -3.2020   -1.0260   -0.1468   -0.7079    0.4687
   64.7500   -6.2299   -5.0708   -3.1896   -1.0281   -0.1540   -0.6991    0.4616
   65.0000   -6.1517   -5.0073   -3.1532   -1.0161   -0.1505   -0.6875    0.4606
   65.2500   -6.0792   -4.9859   -3.1576   -1.0108   -0.1528   -0.6647    0.4373
   65.5000   -5.9210   -4.8372   -3.0573   -0.9730   -0.1438   -0.6632    0.4371
   65.7500   -5.9049   -4.8403   -3.0634   -0.9794   -0.1434   -0.6540    0.4474
   66.0000   -5.8266   -4.7785   -3.0358   -0.9621   -0.1411   -0.6395    0.4621
   66.2500   -5.7008   -4.7174   -3.0115   -0.9551   -0.1426   -0.6082    0.4794
   66.5000   -5.6667   -4.7244   -3.0277   -0.9530   -0.1375   -0.6062    0.4676
   66.7500   -5.4068   -4.5507   -2.9036   -0.9341   -0.1392   -0.5737    0.4611
   67.0000   -5.4628   -4.6225   -2.9916   -0.9275   -0.1395   -0.5638    0.4197
   67.2500   -5.3626   -4.5300   -2.8979   -0.9327   -0.1420   -0.5573    0.5024
   67.5000   -5.2581   -4.4942   -2.8751   -0.9452   -0.1467   -0.5272    0.5210
   67.7500   -5.2482   -4.4485   -2.8818   -0.9045   -0.1347   -0.5275    0.4454
   68.0000   -5.0950   -4.3611   -2.8335   -0.8874   -0.1370   -0.5032    0.4938
   68.2500   -5.0880   -4.3856   -2.8458   -0.8914   -0.1312   -0.5172    0.5242
   68.5000   -5.1535   -4.4925   -2.9472   -0.8986   -0.1318   -0.5149    0.5049
   68.7500   -5.0271   -4.3844   -2.9322   -0.8538   -0.1188   -0.4797    0.4329
   69.0000   -4.8187   -4.1903   -2.7762   -0.8190   -0.1255   -0.4696    0.4943
   69.2500   -4.6178   -4.0146   -2.6225   -0.8436   -0.1313   -0.4172    0.4941
   69.5000   -4.5620   -4.0590   -2.7198   -0.8229   -0.1137   -0.4027    0.4989
   69.7500   -4.4407   -3.9242   -2.6530   -0.7626   -0.1038   -0.4049    0.4134
   70.0000   -4.5485   -3.9959   -2.6499   -0.8019   -0.1108   -0.4334    0.4826
   70.2500   -4.4036   -3.9102   -2.6420   -0.7757   -0.1258   -0.3668    0.4667
   70.5000   -4.5226   -4.0117   -2.7229   -0.7743   -0.1121   -0.4024    0.4814
   70.7500   -4.4032   -3.9393   -2.6444   -0.8237   -0.1184   -0.3529    0.4992
   71.0000   -4.3785   -3.9204   -2.6697   -0.7702   -0.1138   -0.3666    0.4339
   71.2500   -4.1373   -3.6816   -2.5139   -0.7025   -0.0959   -0.3692    0.3577
   71.5000   -3.9950   -3.6100   -2.5616   -0.6388   -0.0935   -0.3160    0.4216
   71.7500   -4.0904   -3.6706   -2.6119   -0.6378   -0.0631   -0.3577    0.2458
   72.0000   -4.3326   -3.8719   -2.6252   -0.7510   -0.1041   -0.3917    0.4291
   72.2500   -3.8211   -3.4553   -2.5319   -0.5900   -0.0751   -0.2582    0.2323
   72.5000   -3.9142   -3.5767   -2.5634   -0.6240   -0.0833   -0.3060    0.3441
   72.7500   -3.7980   -3.4299   -2.4684   -0.6051   -0.0714   -0.2851    0.3360
   73.0000   -4.0117   -3.5747   -2.4582   -0.6922   -0.1005   -0.3239    0.5270
   73.2500   -3.5394   -3.2762   -2.5277   -0.4890   -0.0602   -0.1993    0.2861
   73.5000   -3.7166   -3.3793   -2.3773   -0.6226   -0.1020   -0.2774    0.2521
   73.7500   -3.3295   -3.0277   -2.2249   -0.5040   -0.0713   -0.2276    0.3370
   74.0000   -3.6591   -3.4231   -2.6314   -0.4810   -0.0475   -0.2632    0.3601
   74.2500   -3.4478   -3.2246   -2.5005   -0.4435   -0.0512   -0.2295    0.1038
   74.5000   -3.7101   -3.4080   -2.4361   -0.6233   -0.0801   -0.2686    0.2525
   74.7500   -3.7176   -3.4541   -2.5165   -0.6119   -0.0799   -0.2459    0.4676
   75.0000   -2.8568   -2.7069   -2.2863   -0.2786   -0.0307   -0.1113    0.1625
   75.2500   -2.6336   -2.5056   -2.0350   -0.3129   -0.0336   -0.1241   -0.0068
   75.5000   -3.2945   -3.0571   -2.1312   -0.6141   -0.0824   -0.2294    0.3959
   75.7500   -2.6886   -2.5458   -2.1342   -0.2478   -0.0265   -0.1372    0.2092
   76.0000   -3.0278   -2.8275   -2.1968   -0.3894   -0.0798   -0.1615    0.1818
   76.2500   -2.9969   -2.8122   -2.3183   -0.3020   -0.0442   -0.1477    0.3063
   76.5000   -3.2226   -3.1128   -2.5992   -0.3228   -0.0369   -0.1539   -0.0488
   76.7500   -3.2776   -3.0277   -2.3299   -0.4322   -0.0658   -0.1998    0.1232
   77.0000   -2.8408   -2.7387   -2.1401   -0.4266   -0.0444   -0.1276    0.2212
   77.2500   -2.8353   -2.6729   -2.2020   -0.2523   -0.0455   -0.1731    0.2533
   77.5000   -3.0551   -2.8710   -2.3536   -0.2725   -0.0293   -0.2156    0.1551
   77.7500   -2.7445   -2.6367   -2.1287   -0.3737   -0.0412   -0.0931    0.0906
   78.0000   -3.0430   -2.9085   -2.3247   -0.3860   -0.0464   -0.1513    0.2408
   78.2500   -2.6762   -2.5829   -2.0981   -0.3184   -0.0343   -0.1321    0.0703
   78.5000   -2.6797   -2.5450   -2.1698   -0.1982   -0.0304   -0.1466    0.0802
   78.7500   -2.5527   -2.5229   -2.1050   -0.2720   -0.0358   -0.1101    0.1886
