# Multipolar energies (kT/lB)
#        R     exact       tot        ii        id        dd        iq    mucorr
   45.7500   -5.6273   -4.0795   -3.3700   -0.0674    0.0556   -0.6977   -0.5965
   47.0000   -9.7361   -9.6353   -6.0932   -1.8178   -0.3669   -1.3573   -0.2962
   47.2500   -7.0017   -7.2126   -3.6255   -1.9735   -0.5317   -1.0820    0.6898
   47.7500   -8.1917   -8.8808   -5.2639   -1.8224   -0.4570   -1.3375   -0.0405
   48.0000   -6.7850   -6.7340   -3.3261   -1.8367   -0.6189   -0.9524    0.3156
   48.2500   -9.1652   -9.2172   -5.3796   -1.9038   -0.4129   -1.5209    0.1409
   48.5000   -7.2005   -7.4913   -3.8100   -2.1481   -0.5631   -0.9701    0.7816
   49.0000   -8.5904   -8.1858   -4.6570   -1.7960   -0.4430   -1.2898    0.0380
   49.2500   -8.3914   -8.0254   -4.3453   -2.1093   -0.5149   -1.0558    0.7281
   49.5000   -8.6018   -8.1262   -4.5986   -1.7677   -0.4669   -1.2929    0.0688
   49.7500   -8.4296   -8.0293   -4.6141   -1.8249   -0.4281   -1.1622    0.2560
   50.0000   -8.4195   -7.9198   -4.4565   -1.8236   -0.4445   -1.1954    0.2857
   50.2500   -8.5397   -7.8593   -4.3959   -1.7684   -0.4223   -1.2727    0.2287
   50.5000   -8.3886   -7.7819   -4.4901   -1.7260   -0.3887   -1.1771    0.2754
   50.7500   -8.6822   -8.0041   -4.6216   -1.7980   -0.4118   -1.1728    0.2697
   51.0000   -8.0257   -7.3313   -4.1831   -1.6429   -0.3834   -1.1219    0.3033
   51.2500   -8.2570   -7.4735   -4.1996   -1.6954   -0.4079   -1.1705    0.3004
   51.5000   -8.4205   -7.6144   -4.3214   -1.7167   -0.3951   -1.1810    0.3421
   51.7500   -8.5593   -7.7767   -4.3800   -1.8047   -0.4075   -1.1846    0.4462
   52.0000   -8.4344   -7.6183   -4.2822   -1.7752   -0.4028   -1.1580    0.4673
   52.2500   -8.4050   -7.5225   -4.2777   -1.7176   -0.3868   -1.1404    0.3787
   52.5000   -8.3427   -7.4551   -4.1769   -1.7658   -0.3989   -1.1136    0.5134
   52.7500   -8.4098   -7.5294   -4.2484   -1.7649   -0.3894   -1.1267    0.5265
   53.0000   -8.2104   -7.2928   -4.1059   -1.7022   -0.3769   -1.1078    0.4924
   53.2500   -8.2874   -7.3077   -4.1139   -1.6984   -0.3700   -1.1254    0.5094
   53.5000   -8.2078   -7.2247   -4.0916   -1.6629   -0.3596   -1.1106    0.4853
   53.7500   -8.1339   -7.1136   -4.0116   -1.6430   -0.3550   -1.1040    0.4978
   54.0000   -8.1977   -7.1882   -4.0422   -1.6780   -0.3565   -1.1115    0.5609
