# Multipolar energies (kT/lB)
#        R     exact       tot        ii        id        dd        iq    mucorr
   47.7500   -8.0384   -8.3855   -4.5836   -2.0551   -0.5455   -1.2013    0.3947
   48.2500   -8.9458   -9.3951   -4.9723   -2.5441   -0.6029   -1.2758    0.8703
   48.5000   -8.5026   -8.8107   -5.0419   -2.1121   -0.4579   -1.1988    0.4091
   48.7500   -7.3642   -7.4812   -4.0549   -2.0533   -0.4395   -0.9334    0.8454
   49.0000   -8.8659   -8.5997   -4.8542   -1.9710   -0.4618   -1.3127    0.2318
   49.2500   -8.2929   -8.1197   -4.4684   -1.8989   -0.5120   -1.2403    0.2160
   49.5000   -8.4481   -8.1581   -4.5389   -1.9257   -0.4740   -1.2195    0.3346
   49.7500   -8.7138   -8.2161   -4.6824   -1.8165   -0.4067   -1.3105    0.1977
   50.0000   -8.2928   -7.7034   -4.1722   -1.8054   -0.4677   -1.2581    0.2304
   50.2500   -8.5516   -7.9041   -4.4087   -1.7862   -0.4258   -1.2833    0.2474
   50.5000   -8.3145   -7.6622   -4.2820   -1.7611   -0.4327   -1.1864    0.2490
   50.7500   -8.2117   -7.6459   -4.3663   -1.7375   -0.3908   -1.1514    0.3876
   51.0000   -8.3733   -7.6888   -4.3228   -1.7511   -0.4171   -1.1978    0.3305
   51.2500   -8.2673   -7.5328   -4.1477   -1.7704   -0.4363   -1.1783    0.3839
   51.5000   -8.4003   -7.6002   -4.2016   -1.7859   -0.4165   -1.1962    0.4088
   51.7500   -8.6095   -7.8381   -4.3475   -1.8538   -0.4246   -1.2122    0.4703
   52.0000   -8.5050   -7.6583   -4.2510   -1.8039   -0.4214   -1.1821    0.4197
   52.2500   -8.3899   -7.4949   -4.1531   -1.7764   -0.4164   -1.1489    0.4691
   52.5000   -8.3086   -7.4030   -4.0862   -1.7726   -0.4077   -1.1365    0.5362
   52.7500   -8.3651   -7.4347   -4.1178   -1.7793   -0.4022   -1.1354    0.5349
   53.0000   -8.2704   -7.3464   -4.0867   -1.7371   -0.3896   -1.1330    0.5175
   53.2500   -8.3135   -7.3422   -4.0864   -1.7329   -0.3855   -1.1375    0.5265
   53.5000   -8.2677   -7.2674   -4.0486   -1.7061   -0.3773   -1.1354    0.5181
   53.7500   -8.2147   -7.2042   -4.0055   -1.7044   -0.3743   -1.1200    0.5507
   54.0000   -8.2520   -7.2167   -4.0180   -1.7013   -0.3701   -1.1272    0.5513
   54.2500   -8.1610   -7.1075   -3.9469   -1.6825   -0.3657   -1.1124    0.5726
   54.5000   -8.1492   -7.0685   -3.9243   -1.6759   -0.3635   -1.1049    0.5820
   54.7500   -8.1639   -7.0528   -3.9289   -1.6646   -0.3529   -1.1063    0.5952
   55.0000   -8.2088   -7.0692   -3.9353   -1.6724   -0.3541   -1.1074    0.6151
   55.2500   -8.1580   -6.9844   -3.8846   -1.6564   -0.3505   -1.0929    0.6233
   55.5000   -8.1176   -6.9297   -3.8612   -1.6379   -0.3420   -1.0885    0.6308
   55.7500   -8.1051   -6.8889   -3.8476   -1.6238   -0.3344   -1.0831    0.6257
   56.0000   -8.0842   -6.8357   -3.8410   -1.5958   -0.3222   -1.0767    0.6094
   56.2500   -7.9960   -6.7494   -3.7931   -1.5799   -0.3189   -1.0575    0.6147
   56.5000   -7.9172   -6.6608   -3.7582   -1.5495   -0.3103   -1.0428    0.5975
   56.7500   -7.8660   -6.5995   -3.7403   -1.5291   -0.3001   -1.0300    0.5998
   57.0000   -7.8271   -6.5605   -3.7222   -1.5269   -0.2961   -1.0153    0.6221
   57.2500   -7.7369   -6.4603   -3.6892   -1.4875   -0.2833   -1.0003    0.6016
   57.5000   -7.6771   -6.3920   -3.6621   -1.4721   -0.2777   -0.9802    0.5971
   57.7500   -7.6157   -6.3102   -3.6276   -1.4462   -0.2701   -0.9663    0.5821
   58.0000   -7.5143   -6.2139   -3.5817   -1.4194   -0.2602   -0.9526    0.5864
   58.2500   -7.5126   -6.1969   -3.6055   -1.3939   -0.2476   -0.9499    0.5590
   58.5000   -7.3872   -6.0643   -3.5281   -1.3695   -0.2409   -0.9258    0.5566
   58.7500   -7.3657   -6.0356   -3.5331   -1.3483   -0.2319   -0.9224    0.5515
   59.0000   -7.3224   -5.9940   -3.5218   -1.3349   -0.2264   -0.9108    0.5448
   59.2500   -7.2590   -5.9088   -3.4848   -1.3054   -0.2174   -0.9012    0.5178
   59.5000   -7.1987   -5.8536   -3.4626   -1.2874   -0.2134   -0.8902    0.5251
   59.7500   -7.1641   -5.8178   -3.4483   -1.2780   -0.2087   -0.8828    0.5219
   60.0000   -7.1104   -5.7728   -3.4345   -1.2604   -0.2055   -0.8724    0.5103
   60.2500   -7.0288   -5.6735   -3.3908   -1.2279   -0.1930   -0.8618    0.4912
   60.5000   -6.9623   -5.6295   -3.3681   -1.2167   -0.1936   -0.8511    0.4973
   60.7500   -6.8845   -5.5707   -3.3516   -1.1981   -0.1860   -0.8350    0.4874
   61.0000   -6.7946   -5.4840   -3.2883   -1.1939   -0.1916   -0.8103    0.5062
   61.2500   -6.8009   -5.4893   -3.3129   -1.1771   -0.1831   -0.8163    0.4876
   61.5000   -6.6592   -5.3953   -3.2552   -1.1630   -0.1835   -0.7935    0.4901
   61.7500   -6.6411   -5.3588   -3.2387   -1.1563   -0.1827   -0.7811    0.4993
   62.0000   -6.6282   -5.3411   -3.2222   -1.1568   -0.1821   -0.7801    0.5242
   62.2500   -6.5036   -5.2121   -3.1439   -1.1323   -0.1842   -0.7516    0.4943
   62.5000   -6.4621   -5.1937   -3.1503   -1.1141   -0.1771   -0.7523    0.4871
   62.7500   -6.3809   -5.1312   -3.1063   -1.1152   -0.1827   -0.7270    0.5165
   63.0000   -6.4782   -5.2053   -3.1525   -1.1264   -0.1839   -0.7425    0.5071
   63.2500   -6.3204   -5.0660   -3.0763   -1.0993   -0.1788   -0.7116    0.5101
   63.5000   -6.3593   -5.0928   -3.0843   -1.1099   -0.1824   -0.7162    0.5470
   63.7500   -6.2931   -5.0508   -3.0772   -1.0832   -0.1752   -0.7154    0.5048
   64.0000   -6.2784   -5.0031   -3.0546   -1.0602   -0.1694   -0.7188    0.4963
   64.2500   -6.2200   -4.9628   -3.0291   -1.0588   -0.1721   -0.7027    0.4802
   64.5000   -6.1392   -4.9173   -3.0127   -1.0497   -0.1640   -0.6908    0.4970
   64.7500   -6.1955   -4.9423   -3.0206   -1.0576   -0.1679   -0.6963    0.5097
   65.0000   -6.0503   -4.8917   -3.0013   -1.0469   -0.1681   -0.6754    0.4948
   65.2500   -5.8996   -4.7121   -2.8870   -1.0049   -0.1656   -0.6546    0.5124
   65.5000   -5.8748   -4.7386   -2.8964   -1.0219   -0.1683   -0.6521    0.5124
   65.7500   -5.7827   -4.6654   -2.8615   -1.0052   -0.1647   -0.6340    0.5148
   66.0000   -5.8131   -4.6948   -2.9076   -0.9894   -0.1576   -0.6401    0.4532
   66.2500   -5.7003   -4.6664   -2.8823   -1.0027   -0.1631   -0.6183    0.5693
   66.5000   -5.6455   -4.6643   -2.8942   -0.9997   -0.1600   -0.6104    0.5516
   66.7500   -5.5280   -4.5478   -2.8113   -0.9821   -0.1647   -0.5898    0.4873
   67.0000   -5.4475   -4.5304   -2.8503   -0.9478   -0.1432   -0.5891    0.5125
   67.2500   -5.2713   -4.3907   -2.7225   -0.9590   -0.1593   -0.5498    0.5541
   67.5000   -5.3466   -4.4595   -2.7426   -0.9979   -0.1734   -0.5456    0.6062
   67.7500   -5.0326   -4.2237   -2.6390   -0.9251   -0.1521   -0.5075    0.5579
   68.0000   -5.1176   -4.3501   -2.7160   -0.9565   -0.1631   -0.5145    0.5771
   68.2500   -5.0703   -4.2907   -2.6389   -0.9663   -0.1839   -0.5016    0.5333
   68.5000   -5.1117   -4.3504   -2.7403   -0.9491   -0.1547   -0.5063    0.5708
   68.7500   -4.9898   -4.2665   -2.6836   -0.9292   -0.1574   -0.4962    0.5507
   69.0000   -4.8440   -4.1523   -2.6880   -0.8356   -0.1280   -0.5007    0.4344
   69.2500   -4.7183   -4.0533   -2.5343   -0.9073   -0.1516   -0.4602    0.6916
   69.5000   -4.7579   -4.0828   -2.6106   -0.8747   -0.1397   -0.4578    0.6149
   69.7500   -4.9073   -4.2135   -2.6475   -0.9405   -0.1587   -0.4668    0.6334
   70.0000   -4.8578   -4.2559   -2.6128   -1.0213   -0.2008   -0.4209    0.6899
   70.2500   -4.3091   -3.8054   -2.5055   -0.7421   -0.1078   -0.4500    0.4907
   70.5000   -4.5350   -3.9914   -2.5131   -0.9001   -0.1477   -0.4305    0.6125
   70.7500   -4.6949   -4.0943   -2.6637   -0.8440   -0.1272   -0.4594    0.4321
   71.0000   -4.7370   -4.1447   -2.7227   -0.8498   -0.1198   -0.4524    0.5144
   71.2500   -4.3070   -3.7469   -2.4803   -0.7569   -0.1066   -0.4031    0.4709
   71.5000   -4.4191   -3.8993   -2.6546   -0.7128   -0.1114   -0.4205    0.6617
   71.7500   -4.5345   -3.9430   -2.5595   -0.8459   -0.1334   -0.4041    0.6425
   72.0000   -4.7151   -4.1963   -2.7549   -0.8988   -0.1436   -0.3989    0.6041
   72.2500   -3.7764   -3.4312   -2.2916   -0.7003   -0.1259   -0.3134    0.4665
   72.5000   -3.7189   -3.2835   -2.1678   -0.6881   -0.1264   -0.3012    0.3220
   72.7500   -3.6421   -3.3260   -2.1499   -0.7410   -0.1197   -0.3154    0.3545
   73.0000   -3.9513   -3.6007   -2.5392   -0.6662   -0.0695   -0.3258    0.4548
   73.2500   -3.2816   -3.0681   -2.2307   -0.5230   -0.0630   -0.2514    0.1222
   73.5000   -4.3917   -3.9798   -2.7817   -0.7262   -0.0791   -0.3927    0.4241
   73.7500   -4.7629   -4.3221   -2.9457   -0.8942   -0.1233   -0.3589    0.5946
   74.0000   -4.2507   -3.7329   -2.4681   -0.7662   -0.1159   -0.3828    0.5464
   74.2500   -3.8427   -3.5576   -2.6117   -0.6622   -0.0658   -0.2179    0.2036
   74.5000   -3.5141   -3.1487   -2.1167   -0.6310   -0.1101   -0.2908    0.3975
   74.7500   -4.2266   -3.5013   -2.4067   -0.7171   -0.1054   -0.2721    0.4927
   75.0000   -3.4967   -3.1002   -2.0177   -0.6716   -0.1009   -0.3101    0.6153
   75.2500   -3.5943   -3.0916   -2.0489   -0.7191   -0.1022   -0.2214    0.8127
   75.5000   -3.7183   -3.4858   -2.4340   -0.6828   -0.0957   -0.2732    0.5261
   75.7500   -3.1435   -2.9127   -2.2698   -0.3461   -0.0685   -0.2282    0.3992
   76.0000   -3.1120   -2.8861   -2.0640   -0.5454   -0.0848   -0.1919    0.2091
   76.2500   -3.2246   -2.6719   -1.7576   -0.5926   -0.1045   -0.2172    0.3711
   76.5000   -3.8262   -3.6046   -2.4739   -0.7412   -0.1024   -0.2872    0.6284
   76.7500   -3.4910   -3.2237   -2.4351   -0.4530   -0.0350   -0.3005   -0.1509
   77.0000   -3.0789   -2.9172   -2.1703   -0.5100   -0.0402   -0.1966    0.4147
   77.2500   -3.3664   -2.9846   -2.1831   -0.4286   -0.0579   -0.3150    0.3168
   77.5000   -2.8504   -2.6958   -2.1325   -0.3682   -0.0664   -0.1287   -0.1918
   77.7500   -2.4612   -2.3852   -1.9140   -0.3241   -0.0186   -0.1286   -0.1314
   78.0000   -3.5718   -3.3658   -2.4242   -0.5949   -0.0424   -0.3042    0.8642
   78.2500   -2.9404   -2.6899   -2.1184   -0.3738   -0.0516   -0.1461    0.1121
   78.7500   -3.2534   -3.1478   -2.1724   -0.6365   -0.0912   -0.2476    0.8793
