# Multipolar energies (kT/lB)
#        R     exact       tot        ii        id        dd        iq    mucorr
   52.2500   -7.6196   -6.7545   -4.2134   -1.0948   -0.2583   -1.1880   -0.3671
   52.5000   -6.7392   -6.4013   -4.6534   -1.1982   -0.2432   -0.3065    0.1259
   52.7500   -5.6351   -5.1890   -3.6556   -0.8032   -0.1161   -0.6141   -0.2965
   53.2500   -6.1455   -5.6856   -4.2852   -0.8051   -0.0124   -0.5829   -0.1288
   53.5000   -9.3723   -8.6924   -6.0796   -1.2298    0.0513   -1.4343    0.9570
   53.7500   -6.0681   -5.4980   -4.3265   -0.6489   -0.0734   -0.4491   -0.4616
   54.0000   -7.7499   -7.0344   -4.9243   -0.8897    0.0272   -1.2476   -0.0653
   54.2500   -7.5663   -6.7801   -4.5629   -1.1735   -0.0942   -0.9495    0.4320
   54.5000   -6.2739   -5.6162   -3.8589   -1.0243   -0.1311   -0.6020    0.1927
   54.7500   -7.3051   -6.5275   -4.1989   -1.2183   -0.2280   -0.8823    0.2454
   55.0000   -7.8544   -6.9009   -4.6610   -1.0561   -0.1283   -1.0556    0.0279
   55.2500   -7.9673   -7.0988   -4.6301   -1.3004   -0.1438   -1.0246    0.3911
   55.5000   -7.8405   -6.9760   -4.6805   -1.2260   -0.1649   -0.9047    0.1598
   55.7500   -7.5118   -6.5725   -4.4340   -1.1080   -0.1263   -0.9042    0.1360
   56.0000   -7.3461   -6.4226   -4.3781   -1.0066   -0.1157   -0.9221    0.0843
   56.2500   -7.1599   -6.1365   -4.2002   -0.9220   -0.0781   -0.9361    0.1287
   56.5000   -6.6884   -5.8377   -4.0864   -0.8828   -0.0692   -0.7993    0.1716
   56.7500   -7.1841   -6.3213   -4.2426   -1.0584   -0.1344   -0.8858    0.2695
   57.0000   -7.2492   -6.2959   -4.3454   -0.9251   -0.1202   -0.9052    0.1435
   57.2500   -6.8275   -5.9502   -4.1473   -0.9197   -0.1036   -0.7797    0.2056
   57.5000   -6.7442   -5.9318   -4.2182   -0.8664   -0.1154   -0.7317    0.1263
   57.7500   -6.6984   -5.8021   -4.0508   -0.8974   -0.0929   -0.7610    0.1833
   58.0000   -6.5999   -5.7951   -4.0756   -0.9078   -0.1000   -0.7116    0.1987
   58.2500   -6.2242   -5.4417   -3.9915   -0.7269   -0.0947   -0.6287    0.0672
   58.5000   -6.5662   -5.7018   -4.0640   -0.8618   -0.0808   -0.6952    0.1146
   58.7500   -6.4649   -5.6450   -4.0292   -0.8789   -0.0827   -0.6542    0.1708
   59.0000   -6.2990   -5.5155   -3.9588   -0.8208   -0.0779   -0.6579    0.1686
   59.2500   -6.3085   -5.4753   -3.9395   -0.7913   -0.0687   -0.6758    0.0986
   59.5000   -6.1166   -5.3766   -3.8966   -0.7415   -0.0649   -0.6736    0.1906
   59.7500   -5.9843   -5.2974   -3.8825   -0.7544   -0.0744   -0.5862    0.1642
   60.0000   -5.9983   -5.2417   -3.8756   -0.6917   -0.0715   -0.6029    0.1384
   60.2500   -5.9020   -5.1604   -3.8544   -0.6572   -0.0567   -0.5922    0.1343
   60.5000   -5.9458   -5.2121   -3.8871   -0.6936   -0.0593   -0.5721    0.1090
   60.7500   -5.7274   -5.0818   -3.8475   -0.6492   -0.0457   -0.5394    0.1072
   61.0000   -5.5616   -4.9502   -3.7955   -0.6160   -0.0456   -0.4931    0.0939
   61.2500   -5.4321   -4.8290   -3.7875   -0.5130   -0.0496   -0.4789    0.0909
   61.5000   -5.4655   -4.8569   -3.7233   -0.6186   -0.0537   -0.4613    0.1277
   61.7500   -5.8008   -5.0993   -3.7950   -0.6739   -0.0663   -0.5641    0.1558
   62.0000   -5.4728   -4.8985   -3.8396   -0.5507   -0.0397   -0.4685    0.1168
   62.2500   -5.3970   -4.8038   -3.7024   -0.5432   -0.0548   -0.5033    0.1167
   62.5000   -5.1359   -4.6785   -3.6889   -0.5129   -0.0465   -0.4302    0.0845
   62.7500   -5.1770   -4.6620   -3.6882   -0.4793   -0.0570   -0.4375    0.1445
   63.0000   -5.2996   -4.7653   -3.6928   -0.5902   -0.0554   -0.4269    0.1643
   63.2500   -5.0758   -4.5976   -3.6936   -0.4830   -0.0395   -0.3815    0.1380
   63.5000   -5.2225   -4.7035   -3.7049   -0.5395   -0.0493   -0.4098    0.1452
   63.7500   -5.2687   -4.7253   -3.6560   -0.5896   -0.0705   -0.4092    0.2180
   64.0000   -5.0298   -4.5774   -3.6678   -0.4800   -0.0528   -0.3768    0.1972
   64.2500   -4.8200   -4.4123   -3.5277   -0.5134   -0.0480   -0.3231    0.1196
   64.5000   -4.9891   -4.5220   -3.5908   -0.5018   -0.0448   -0.3846    0.1077
   64.7500   -4.8765   -4.4224   -3.5485   -0.4985   -0.0408   -0.3346    0.1802
   65.0000   -4.5758   -4.2080   -3.5029   -0.3885   -0.0482   -0.2684    0.1297
   65.2500   -4.6978   -4.3287   -3.5483   -0.4579   -0.0450   -0.2775    0.1234
   65.5000   -4.5190   -4.1794   -3.5224   -0.3707   -0.0337   -0.2526    0.0802
   65.7500   -4.4228   -4.1185   -3.4879   -0.3423   -0.0454   -0.2429    0.1646
   66.0000   -4.3629   -4.0823   -3.4803   -0.3249   -0.0349   -0.2422    0.0485
   66.2500   -4.2036   -3.9347   -3.4028   -0.2967   -0.0277   -0.2075    0.1027
   66.5000   -4.1826   -3.9539   -3.4657   -0.2694   -0.0292   -0.1896    0.0744
