# Multipolar energies (kT/lB)
#        R     exact       tot        ii        id        dd        iq    mucorr
   48.7500   -8.6700   -8.4051   -4.5061   -2.2777   -0.5703   -1.0511    0.7135
   49.5000   -7.5386   -7.3540   -4.3584   -1.4468   -0.3920   -1.1568   -0.1063
   49.7500   -8.6384   -8.3336   -5.5207   -1.7119   -0.2167   -0.8843    0.5883
   50.0000   -7.6389   -7.0508   -4.2465   -1.4892   -0.2835   -1.0316    0.3412
   50.2500   -9.0475   -8.7489   -5.4937   -1.7203   -0.2671   -1.2678    0.5704
   50.5000   -9.0350   -8.5898   -5.0477   -1.8147   -0.3972   -1.3302    0.1369
   50.7500   -6.4621   -5.9158   -4.3153   -0.7413   -0.0420   -0.8172   -0.1626
   51.0000   -8.1469   -7.4382   -4.6970   -1.3994   -0.2635   -1.0783    0.0431
   51.2500   -8.6016   -8.0238   -4.8576   -1.7417   -0.3532   -1.0714    0.4057
   51.5000   -8.1763   -7.2781   -4.5860   -1.3335   -0.2790   -1.0796    0.0195
   51.7500   -7.6575   -6.8581   -4.1768   -1.3833   -0.3165   -0.9815    0.1000
   52.0000   -8.2835   -7.6072   -4.7706   -1.4133   -0.2515   -1.1718    0.1420
   52.2500   -7.9035   -7.2753   -4.5543   -1.4265   -0.2544   -1.0402    0.1853
   52.5000   -7.7474   -7.1040   -4.4500   -1.4111   -0.2870   -0.9559    0.2406
   52.7500   -7.5300   -6.7424   -4.0945   -1.4071   -0.2860   -0.9548    0.2681
   53.0000   -7.9146   -7.0663   -4.2592   -1.4689   -0.2902   -1.0481    0.3223
   53.2500   -7.7936   -6.9151   -4.3196   -1.3390   -0.2094   -1.0471    0.3048
   53.5000   -8.0334   -7.1275   -4.3213   -1.4695   -0.2641   -1.0725    0.3577
   53.7500   -7.7413   -6.9093   -4.2236   -1.3999   -0.2575   -1.0283    0.3185
   54.0000   -7.8759   -7.0272   -4.3403   -1.4107   -0.2448   -1.0313    0.3572
   54.2500   -8.0013   -7.0799   -4.2870   -1.4631   -0.2579   -1.0718    0.4012
   54.5000   -7.9926   -7.0298   -4.2941   -1.4176   -0.2438   -1.0742    0.3727
   54.7500   -8.0630   -7.0752   -4.3290   -1.4334   -0.2537   -1.0591    0.3491
   55.0000   -8.0310   -6.9846   -4.2596   -1.4222   -0.2458   -1.0570    0.3594
