# Multipolar energies (kT/lB)
#        R     exact       tot        ii        id        dd        iq    mucorr
   46.7500   -6.1328   -6.6537   -4.9223   -1.4124    0.0554   -0.3743    0.8378
   48.0000   -8.1711   -7.5860   -5.5115   -0.7013   -0.2169   -1.1564   -0.8339
   48.7500   -8.5875   -8.5064   -4.7109   -2.2346   -0.4982   -1.0627    0.8406
   49.0000   -7.5059   -7.0081   -3.8539   -1.7820   -0.5920   -0.7802    0.0244
   49.2500   -6.6813   -5.3266   -4.6684    0.0804    0.0714   -0.8100   -0.9304
   49.5000   -7.7624   -7.8051   -4.8562   -1.9028   -0.3351   -0.7110    0.6334
   50.0000   -8.0353   -7.3026   -4.8398   -1.2245   -0.3501   -0.8883   -0.2783
   50.2500   -7.5966   -6.2544   -4.6676   -0.4094   -0.1283   -1.0491   -0.8997
   50.5000   -7.8594   -7.8269   -4.8354   -1.6362   -0.2879   -1.0674    0.4149
   50.7500   -7.1667   -6.8759   -4.2422   -1.4729   -0.3154   -0.8454    0.2709
   51.0000   -8.2645   -7.5355   -4.8630   -1.2405   -0.2281   -1.2040   -0.1889
   51.2500   -9.6130   -9.0930   -5.5884   -1.9844   -0.3968   -1.1234    0.4765
   51.5000   -7.4499   -6.9947   -4.3703   -1.3600   -0.2504   -1.0141    0.2779
   51.7500   -7.2413   -6.6001   -4.2635   -1.2105   -0.1944   -0.9317    0.2205
   52.0000   -8.2481   -7.3567   -4.7421   -1.2040   -0.2568   -1.1537   -0.1898
   52.2500   -7.9151   -7.1204   -4.5772   -1.2948   -0.2106   -1.0378    0.0265
   52.5000   -7.9488   -7.1418   -4.3029   -1.4659   -0.3132   -1.0598    0.2179
   52.7500   -7.4354   -6.7109   -4.1501   -1.3706   -0.2355   -0.9546    0.3284
   53.0000   -7.4538   -6.6437   -4.0739   -1.3588   -0.2617   -0.9493    0.2868
   53.2500   -8.0237   -7.1565   -4.3262   -1.4681   -0.2619   -1.1002    0.3729
   53.5000   -7.8557   -7.0188   -4.2862   -1.4431   -0.2904   -0.9991    0.2281
   53.7500   -7.5696   -6.7864   -4.2171   -1.3514   -0.2316   -0.9863    0.2788
   54.0000   -7.9681   -7.0564   -4.4311   -1.3604   -0.2283   -1.0366    0.2662
   54.2500   -7.8474   -6.9900   -4.3310   -1.3857   -0.2352   -1.0380    0.3265
   54.5000   -7.6166   -6.7397   -4.1947   -1.3236   -0.2242   -0.9972    0.3305
   54.7500   -7.7811   -6.8358   -4.2447   -1.3364   -0.2230   -1.0316    0.3120
   55.0000   -7.8406   -6.8391   -4.2273   -1.3505   -0.2159   -1.0454    0.3435
   55.2500   -7.6876   -6.6839   -4.1573   -1.3175   -0.2067   -1.0024    0.3723
   55.5000   -7.8348   -6.7674   -4.2377   -1.3057   -0.1906   -1.0334    0.3217
   55.7500   -7.7778   -6.7557   -4.1691   -1.3575   -0.2264   -1.0027    0.3661
   56.0000   -7.8900   -6.7807   -4.1890   -1.3424   -0.2106   -1.0387    0.3825
   56.2500   -7.7363   -6.6208   -4.1485   -1.2699   -0.1768   -1.0256    0.3414
   56.5000   -7.7197   -6.6092   -4.1453   -1.2775   -0.1841   -1.0024    0.3333
   56.7500   -7.5746   -6.4728   -4.0884   -1.2337   -0.1725   -0.9782    0.3099
   57.0000   -7.6519   -6.5214   -4.1062   -1.2567   -0.1811   -0.9773    0.3512
   57.2500   -7.4722   -6.3393   -4.0267   -1.1934   -0.1644   -0.9548    0.2919
   57.5000   -7.5068   -6.3590   -4.0459   -1.2033   -0.1590   -0.9509    0.3181
   57.7500   -7.3919   -6.2305   -3.9641   -1.1726   -0.1519   -0.9418    0.2998
   58.0000   -7.3953   -6.2008   -3.9733   -1.1510   -0.1459   -0.9307    0.2829
   58.2500   -7.3411   -6.2176   -3.9803   -1.1715   -0.1564   -0.9093    0.3362
   58.5000   -7.2999   -6.1221   -3.9594   -1.1223   -0.1293   -0.9110    0.2799
   58.7500   -7.3139   -6.1611   -3.9649   -1.1472   -0.1421   -0.9068    0.3018
   59.0000   -7.1525   -5.9952   -3.8912   -1.0931   -0.1237   -0.8873    0.2945
   59.2500   -7.0860   -5.9293   -3.8742   -1.0595   -0.1164   -0.8792    0.2296
   59.5000   -7.0763   -5.9263   -3.8741   -1.0637   -0.1174   -0.8711    0.2330
   59.7500   -6.9820   -5.8497   -3.8311   -1.0494   -0.1114   -0.8579    0.2690
   60.0000   -6.9707   -5.8302   -3.8350   -1.0353   -0.1118   -0.8482    0.2481
   60.2500   -6.9566   -5.8166   -3.8179   -1.0421   -0.1185   -0.8380    0.2605
   60.5000   -6.7490   -5.6588   -3.7141   -1.0241   -0.1165   -0.8041    0.2612
   60.7500   -6.6869   -5.6246   -3.7254   -0.9950   -0.1141   -0.7900    0.2536
   61.0000   -6.6837   -5.6003   -3.7069   -1.0009   -0.1145   -0.7780    0.2792
