# Multipolar energies (kT/lB)
#        R     exact       tot        ii        id        dd        iq    mucorr
   50.2500   -9.4676   -9.2008   -5.0348   -2.5029   -0.7017   -0.9614    0.4668
   51.0000   -7.6973   -6.9693   -4.5365   -1.3821   -0.2807   -0.7699    0.1428
   51.2500   -7.2713   -6.7596   -4.0968   -1.0761   -0.2058   -1.3809   -0.4082
   51.5000   -7.4176   -6.8330   -4.5816   -1.0896   -0.2516   -0.9102   -0.1932
   51.7500   -7.8884   -7.4857   -5.7981   -1.1611   -0.1793   -0.3472    0.4762
   52.0000   -8.2537   -7.6142   -4.5367   -1.6768   -0.3814   -1.0193    0.2739
   52.2500   -8.5284   -7.3185   -4.9074   -0.8735   -0.1965   -1.3411   -0.6725
   52.5000   -7.2320   -6.4825   -3.9468   -1.2219   -0.2423   -1.0715   -0.0248
   52.7500   -6.7218   -6.2430   -4.1029   -1.2086   -0.1732   -0.7584    0.2366
   53.0000   -7.3759   -6.3749   -3.9309   -1.2299   -0.2345   -0.9796    0.1159
   53.2500   -7.5982   -6.7777   -4.2639   -1.3197   -0.1890   -1.0051    0.3613
   53.5000   -8.0455   -7.3085   -4.5818   -1.4360   -0.2719   -1.0187    0.3187
   53.7500   -6.7351   -6.1472   -4.1444   -1.0446   -0.1797   -0.7785    0.0841
   54.0000   -7.4837   -6.6918   -4.2796   -1.2433   -0.1961   -0.9727    0.2324
   54.2500   -7.9772   -7.0825   -4.5307   -1.3228   -0.1944   -1.0346    0.2693
   54.5000   -7.6416   -6.7500   -4.2884   -1.2418   -0.1775   -1.0423    0.2368
   54.7500   -7.8575   -6.9359   -4.5502   -1.2333   -0.1710   -0.9813    0.2653
   55.0000   -7.7229   -6.7779   -4.3033   -1.2573   -0.1784   -1.0389    0.2509
   55.2500   -7.3003   -6.3873   -4.1780   -1.1209   -0.1718   -0.9166    0.1709
   55.5000   -7.5890   -6.6556   -4.3064   -1.2530   -0.1907   -0.9055    0.3830
   55.7500   -7.7993   -6.7964   -4.2674   -1.3209   -0.1808   -1.0272    0.3942
   56.0000   -7.6494   -6.6222   -4.2135   -1.2536   -0.1821   -0.9730    0.2616
   56.2500   -7.5504   -6.5202   -4.1926   -1.1968   -0.1570   -0.9738    0.3087
   56.5000   -7.5202   -6.4675   -4.1496   -1.1983   -0.1593   -0.9603    0.2823
   56.7500   -7.3537   -6.3094   -4.1433   -1.0853   -0.1178   -0.9630    0.1948
   57.0000   -7.5108   -6.4722   -4.1938   -1.1820   -0.1530   -0.9434    0.2742
   57.2500   -7.2548   -6.2132   -4.0769   -1.1234   -0.1455   -0.8675    0.2809
   57.5000   -7.4293   -6.3641   -4.1648   -1.1378   -0.1363   -0.9251    0.2340
   57.7500   -7.2752   -6.2013   -4.0553   -1.1076   -0.1402   -0.8982    0.2665
   58.0000   -7.2700   -6.2190   -4.1111   -1.0801   -0.1217   -0.9060    0.2469
   58.2500   -7.1126   -6.1013   -4.0109   -1.0975   -0.1315   -0.8613    0.2795
   58.5000   -7.0574   -6.0284   -4.0137   -1.0476   -0.1166   -0.8505    0.2496
   58.7500   -6.9397   -5.9217   -3.9581   -1.0138   -0.1122   -0.8376    0.2316
   59.0000   -6.9726   -5.9289   -3.9718   -1.0134   -0.1012   -0.8425    0.2200
   59.2500   -6.9547   -5.8823   -3.9425   -1.0024   -0.0995   -0.8380    0.2320
   59.5000   -6.8489   -5.7844   -3.9050   -0.9559   -0.0868   -0.8367    0.1774
   59.7500   -6.7628   -5.7776   -3.8874   -0.9844   -0.1123   -0.7934    0.2258
   60.0000   -6.6871   -5.6899   -3.8873   -0.9156   -0.0850   -0.8020    0.1744
   60.2500   -6.5258   -5.5936   -3.8202   -0.9367   -0.1052   -0.7315    0.2180
   60.5000   -6.5698   -5.6114   -3.8284   -0.9364   -0.0949   -0.7518    0.2155
   60.7500   -6.4353   -5.4981   -3.7399   -0.9143   -0.0971   -0.7468    0.2240
   61.0000   -6.3655   -5.4495   -3.7908   -0.8747   -0.0868   -0.6972    0.1935
   61.2500   -6.2791   -5.3834   -3.7347   -0.8654   -0.0951   -0.6883    0.2090
   61.5000   -6.3650   -5.4359   -3.7406   -0.8907   -0.0989   -0.7057    0.1998
   61.7500   -6.0737   -5.2524   -3.6449   -0.8752   -0.0906   -0.6417    0.2363
   62.0000   -6.0296   -5.1942   -3.6502   -0.8286   -0.0955   -0.6198    0.2219
   62.2500   -6.0127   -5.1925   -3.6785   -0.7967   -0.0752   -0.6421    0.2499
   62.5000   -6.0504   -5.2447   -3.6993   -0.8425   -0.0842   -0.6187    0.2725
   62.7500   -5.9259   -5.1505   -3.6664   -0.7911   -0.0872   -0.6059    0.1854
   63.0000   -5.9687   -5.1281   -3.5911   -0.8131   -0.0900   -0.6338    0.2081
   63.2500   -5.7167   -4.9583   -3.5738   -0.7240   -0.0761   -0.5844    0.1900
   63.5000   -5.6128   -4.8923   -3.5458   -0.7408   -0.0796   -0.5261    0.2398
   63.7500   -5.5132   -4.8390   -3.5314   -0.7200   -0.0787   -0.5089    0.2325
   64.0000   -5.4633   -4.7831   -3.5141   -0.6944   -0.0835   -0.4911    0.2013
   64.2500   -5.4450   -4.7372   -3.4510   -0.6809   -0.0772   -0.5281    0.2162
   64.5000   -5.5540   -4.8235   -3.4581   -0.7503   -0.0818   -0.5332    0.2607
   64.7500   -5.3194   -4.6830   -3.4599   -0.6722   -0.0692   -0.4817    0.2175
   65.0000   -5.4364   -4.7531   -3.4575   -0.7150   -0.0814   -0.4992    0.2339
   65.2500   -5.2253   -4.6064   -3.4373   -0.6319   -0.0759   -0.4614    0.2194
   65.5000   -5.0495   -4.4875   -3.3467   -0.6342   -0.0773   -0.4294    0.1671
   65.7500   -4.8927   -4.3707   -3.3165   -0.5926   -0.0769   -0.3847    0.1708
   66.0000   -4.9542   -4.4669   -3.4036   -0.5999   -0.0655   -0.3980    0.1992
   66.2500   -4.6758   -4.2357   -3.3193   -0.5117   -0.0597   -0.3450    0.2006
   66.5000   -4.6813   -4.2830   -3.3800   -0.5097   -0.0554   -0.3379    0.1086
   66.7500   -4.5119   -4.1554   -3.3291   -0.4821   -0.0495   -0.2948    0.1384
   67.0000   -4.4285   -4.0652   -3.2782   -0.4398   -0.0436   -0.3037    0.1392
   67.2500   -4.2252   -3.9061   -3.1922   -0.3971   -0.0506   -0.2663    0.1413
   67.5000   -4.1920   -3.8866   -3.1891   -0.3969   -0.0474   -0.2531    0.2033
   67.7500   -4.2887   -3.9767   -3.2147   -0.4262   -0.0468   -0.2890    0.1711
   68.0000   -4.0469   -3.8039   -3.1684   -0.3845   -0.0393   -0.2116    0.1473
   68.2500   -4.0429   -3.7999   -3.1942   -0.3366   -0.0452   -0.2239    0.1006
   68.5000   -4.0442   -3.8023   -3.1590   -0.3773   -0.0465   -0.2195    0.1361
