# Multipolar energies (kT/lB)
#        R     exact       tot        ii        id        dd        iq    mucorr
   45.7500   -7.2091   -5.7877   -4.4105   -0.4473   -0.0524   -0.8776   -0.6456
   46.7500   -7.9386   -8.3890   -4.2327   -2.3116   -0.7175   -1.1271    0.3922
   47.2500   -6.3641   -5.1914   -3.7461   -0.6860   -0.1680   -0.5913   -0.4358
   47.5000  -10.1243  -10.1855   -6.0059   -2.2017   -0.5621   -1.4159   -0.1502
   48.0000   -9.2630   -9.7436   -5.9987   -2.1241   -0.5876   -1.0333   -0.0662
   48.2500   -8.9130   -8.3666   -5.1292   -1.5918   -0.3613   -1.2843   -0.0859
   48.5000   -7.2574   -7.0787   -4.1521   -1.6641   -0.2786   -0.9839    0.4966
   48.7500   -7.6234   -7.2448   -4.2976   -1.6236   -0.3936   -0.9300    0.1156
   49.0000   -8.4891   -8.2600   -4.5177   -1.8330   -0.4875   -1.4219    0.2532
   49.2500   -7.8582   -7.6546   -4.3562   -1.7084   -0.4320   -1.1579    0.1112
   49.5000   -8.4981   -7.8363   -4.7834   -1.4307   -0.3312   -1.2909   -0.1775
   49.7500   -8.3629   -7.7713   -4.7670   -1.5417   -0.2755   -1.1871    0.1165
   50.0000   -7.8283   -7.4262   -4.3130   -1.6455   -0.3715   -1.0963    0.3047
   50.2500   -8.3621   -7.7561   -4.4484   -1.6787   -0.3571   -1.2720    0.2289
   50.5000   -8.4987   -7.8618   -4.5551   -1.7252   -0.3963   -1.1852    0.2076
   50.7500   -8.2320   -7.6801   -4.5274   -1.6825   -0.3734   -1.0968    0.2854
   51.0000   -8.0005   -7.2917   -4.2614   -1.5914   -0.3615   -1.0775    0.2806
   51.2500   -8.2234   -7.5066   -4.3958   -1.6347   -0.3518   -1.1242    0.3214
   51.5000   -8.1121   -7.3448   -4.3903   -1.5382   -0.3014   -1.1149    0.2761
   51.7500   -8.4446   -7.6729   -4.3954   -1.7752   -0.3927   -1.1096    0.4457
   52.0000   -8.2688   -7.4147   -4.3346   -1.6156   -0.3509   -1.1136    0.2873
   52.2500   -8.3101   -7.4809   -4.3921   -1.6195   -0.3324   -1.1369    0.3397
   52.5000   -8.3653   -7.4741   -4.3453   -1.6445   -0.3392   -1.1451    0.3949
   52.7500   -8.2641   -7.3880   -4.2659   -1.6680   -0.3593   -1.0948    0.4367
   53.0000   -8.1618   -7.2923   -4.2284   -1.6357   -0.3374   -1.0908    0.4573
   53.2500   -8.2393   -7.3013   -4.2101   -1.6517   -0.3445   -1.0950    0.4703
   53.5000   -8.2343   -7.2765   -4.2308   -1.6053   -0.3268   -1.1135    0.4480
   53.7500   -8.2019   -7.2416   -4.1715   -1.6329   -0.3382   -1.0990    0.4847
   54.0000   -8.2011   -7.2180   -4.1511   -1.6308   -0.3339   -1.1022    0.5184
   54.2500   -8.0881   -7.0750   -4.0953   -1.5778   -0.3219   -1.0800    0.4819
   54.5000   -8.1140   -7.0810   -4.0982   -1.5806   -0.3158   -1.0865    0.4988
   54.7500   -8.1511   -7.0696   -4.0983   -1.5669   -0.3066   -1.0977    0.4911
   55.0000   -8.0804   -6.9895   -4.0522   -1.5633   -0.3056   -1.0684    0.5329
   55.2500   -8.0998   -6.9698   -4.0490   -1.5456   -0.2972   -1.0781    0.5198
   55.5000   -8.0562   -6.8873   -3.9938   -1.5295   -0.2943   -1.0697    0.5184
   55.7500   -8.0634   -6.8910   -4.0107   -1.5238   -0.2866   -1.0700    0.5227
